Country,Start Date,End Date
United Kingdom,,2022-02-04
United Kingdom,2022-02-06,2022-04-22
United Kingdom,2022-04-24,2022-07-14
United Kingdom,2022-07-30,2022-11-08
United Kingdom,2022-11-14,2023-01-05
United Kingdom,2023-01-17,2023-03-02
United Kingdom,2023-03-13,2023-05-19
China,2023-05-20,2023-06-06
United Kingdom,2023-06-06,2023-10-03
United Kingdom,2023-10-10,2023-10-26
China,2023-10-27,2024-02-15
United Kingdom,2024-02-15,2024-02-29
China,2024-03-01,2024-06-03
United Kingdom,2024-06-04,2024-06-10
Ireland,2024-06-10,2024-06-13
United Kingdom,2024-06-13,2024-06-27
Ireland,2024-06-27,2024-07-05
United Kingdom,2024-07-05,2024-07-16
Ireland,2024-07-16,2024-07-18
United Kingdom,2024-07-18,2024-07-30
Ireland,2024-07-30,2024-08-05
United Kingdom,2024-08-05,2024-08-13
Ireland,2024-08-13,2024-08-15
United Kingdom,2024-08-15,2024-08-29
Ireland,2024-08-29,2024-08-31
United Kingdom,2024-08-31,2024-10-07
Ireland,2024-10-07,2024-10-10
United Kingdom,2024-10-10,2024-11-04
Ireland,2024-11-04,2024-11-08
United Kingdom,2024-11-08,2024-12-20
Ireland,2024-12-20,2025-01-23
United Kingdom,2025-01-23,2025-01-27
Ireland,2025-01-27,2025-03-12
United Kingdom,2025-03-12,2025-03-17
Ireland,2025-03-17,2025-04-30
United Kingdom,2025-04-30,2025-05-07
Ireland,2025-05-07,2025-06-26
United Kingdom,2025-06-26,2025-07-08
Ireland,2025-07-08,2025-07-10
United Kingdom,2025-07-10,2025-08-11
Ireland,2025-08-11,2025-09-08
United Kingdom,2025-09-08,2025-10-08
Ireland,2025-10-08,2025-11-10
United Kingdom,2025-11-10,2025-11-27
Ireland,2025-11-27,2025-12-17
United Kingdom,2025-12-17,2025-12-29
China,2025-12-30,2026-01-14
United Kingdom,2026-01-14,2026-01-22
Ireland,2026-01-22,2026-01-31
United Kingdom,2026-01-31,2026-03-04
Ireland,2026-03-04,2026-03-11
United Kingdom,2026-03-11,2026-03-16
Ireland,2026-03-16,2026-04-02
United Kingdom,2026-04-02,
